Name,Location,Rate,Review
رستوران گیلانی,خیابان امام، روبروی بانک سپه، بین ۱۸/۱ و ۲۰، رستوران گیلانی,4.2,13
کافه قهوه کریمی,رفسنجان، خیابان مطهری، نبش کوچه ۳۹، کافه قهوه کریمی,,0
آشکده لیرو,رفسنجان، ملاصدرا، خیابان عدالت، آشکده لیرو,,1
آش شولی شاپ,"رفسنجان، خیابان امیرکبیر شرقی، امیرکبیر ۲۹، پلاک ۱,۲۶۶، آش شولی شاپ",4.7,2
کافه قهوه آبشار,رفسنجان، بلوار طالقانی، بلوار هفدهم شهریور بعد از هفده شهریور ۲۳، کافه قهوه آبشار,,0
فست فود زرین مشرق زمین,خیابان امام خمینی، نبش کوچه ۹، فست فود زرین مشرق زمین,4.2,60
فست فود نوژان,خیابان شهید بهشتی، گلستان امین، فست فود نوژان,4.2,23
فست فود پلازا,مومن آباد، کوچه مصطفی خمینی ۴۹، بلوار مصطفی خمینی، پلاک ۶۱۱، طبقه همکف، فست فود پلازا,,1
آبمیوه بستنی ایران ۶۵,رفسنجان، خیابان ابوذر، بین کوچه ۳۸ تا ۴۰،، آبمیوه بستنی ایران ۶۵,,0
بستنی سنتی طلاب مشهد,رفسنجان، بلوار طالقانی، امیرکبیر شرقی، قبل از امیرکبیر شرقی ۲۹، بستنی سنتی طلاب مشهد,,0
ساندویچ دورهمی,رفسنجان، سی متری، خیابان امام خمینی، خیابان پاسداران، پلاک ۱۴۶، طبقه همکف، ساندویچ دورهمی,4.7,1
رستوران دنیای مزه,رفسنجان، سی متری، کوچه معلم ۴، طالقانی ۳۳، بلوار طالقانی، پلاک ۴۷۳، طبقه همکف، رستوران دنیای مزه,,0
ساندویچ سرد خورشید,رفسنجان، نبش خیابان ۱۷ شهریور غربی، ساندویچ سرد خورشید,,0
فالوده بستنی ولیعصر,رفسنجان، بلوار مصطفی خمینی، بین کوچه ۳۹ و ۴۱، فالوده بستنی ولیعصر,,0
ساندویچ رجبی,رفسنجان، علی آباد، کوچه توحیدی فرد، خیابان امام خمینی، پلاک ۰، طبقه همکف، واحد ۳، ساندویچ رجبی,,0
فست فود عقیق,رفسنجان، خیابان مدرس، تالار عقیق، فست فود عقیق,,0
فست فود زیره,رفسنجان، بلوار مدرس شمالی، مدرس ۲۲، نبش میدان ۹ دی، فست فود زیره,4.9,2
کافه بستنی دولپی,رفسنجان، خیابان مصطفی خمینی، بین کوچه ۴۵ و ۴۷، کافه بستنی دولپی,,0
قهوه رستا,رفسنجان، میدان بسیج جنب میدان، قهوه رستا,,0
کبابی آدانا,رفسنجان، مومن آباد، خیابان معراج شمالی، بلوار شهید حسینی، پلاک ۱۷۹/۰، طبقه همکف، کبابی آدانا,,0
کبابی سعیدی,رفسنجان، بلوار مصطفی خمینی، مصطفی خمینی ۴۸، کبابی سعیدی,,0
پیتزا غروب,رفسنجان، خیابان طالقانی، طالقانی ۶۲، شهید صالحی، پیتزا غروب,,0
کافه فست فود ماهور,رفسنجان، بلوار طالقانی، کوچه ۶۲، کافه فست فود ماهور,,0
آبمیوه بستنی ژلینو,رفسنجان، میدان شهدا، نبش میدان، آبمیوه بستنی ژلینو,,0
فست فود چی لی ز,رفسنجان، میدان آبشار پسته، به طرف چهار راه ابوذر، نبش کوچه ۲۹، فست فود چی لی ز,4.2,3
آب میوه بستنی اکسیر,رفسنجان، شهرک امام خمینی، علامه امینی، تقاطع پانزده خرداد، آب میوه بستنی اکسیر,,0
فست فود فرهاد,رفسنجان، میدان شهدا، جنب گالری بارون، فست فود فرهاد,4.2,5
کافه صبحانه و فست فود نشاط (مطهری),"رفسنجان، عباس آباد، خیابان شیخ مرتضی انصاری، بلوار شهید مطهری، پلاک ۱,۴۶۸، طبقه همکف، کافه صبحانه و فست فود نشاط (مطهری)",,0
کافه صبحانه و فست فود لاله,رفسنجان، خیابان مطهری، بین کوچه ۳۹ و ۴۱، کافه صبحانه و فست فود لاله,,0
بیرون بر زیتون,رفسنجان، جنت گرامی، کوچه رفسنجانی ۱۱، بلوار رفسنجانی، طبقه ۱، بیرون بر زیتون,,0
آبمیوه بستنی آیس پک,رفسنجان، بلوار جمهوری، نبش کوچه ۳۷، آبمیوه بستنی آیس پک,,0
رستوران پامچال,رفسنجان، نبش میدان امام حسین (ع)، رستوران پامچال,,0
فست فود چی,رفسنجان، نبش طالقانی ۶۲، کنار پل هوایی، فست فود چی,4.5,3
قهوه دون,رفسنجان، میدان بسیج، ابتدای بلوار آیت اله صدر، قهوه دون,,0
قهوه جوکر,رفسنجان، خیابان شهید حسینی، نبش کوچه شماره ۲، قهوه جوکر,,0
کافه رستوران ایران,رفسنجان، میدان شهدا، جنب کوچه عطر شمیم، کافه رستوران ایران,,0
رستوران گیلدخت,رفسنجان، خیابان طالقانی، کوچه ۵۸، چهار کوچه اول، سمت راست، رستوران گیلدخت,3.6,1
رستوران سالم,رفسنجان، خیابان مطهری، مطهری ۵۵، جنب پمپ بنزین، رستوران سالم,,0
رستوران کاکو,رفسنجان، بلوار مطهری، قبل سه راه حجت، رستوران کاکو,4.6,2
قهوه ترنج,رفسنجان، مومن آباد، کوچه مصطفی خمینی ۵۵، بلوار مصطفی خمینی، پلاک ۷۰۳، طبقه همکف، قهوه ترنج,,0
رستوران شهرزاد,رفسنجان، خیابان امام خمینی، روبروی مسجد امام علی (ع)، رستوران شهرزاد,4.5,8
کافه صبحانه آرام,رفسنجان، میدان شهدا، جنب بستنی فروشی نازنین، کافه صبحانه آرام,,0
کافه صبحانه کنج دنج,رفسنجان، خیابان مدرس، بین مدرس ۷ و ۹، کافه صبحانه کنج دنج,,0
فست فود آنا,رفسنجان، خیابان طالقانی، نرسیده به داروخانه دکتر عامری، فست فود آنا,,0
کافه صبحانه آکو,رفسنجان، خیابان آیت اله صدر، نبش باقرخان، کافه صبحانه آکو,,0
غذای بیرون بر نازخاتون,رفسنجان، خیابان کارگر، نبش کوچه کارگر ۸، غذای بیرون بر نازخاتون,,0
فست فود گرین فود,رفسنجان، مطهری، خیابان پرستار، خیابان پرستار ۳، خیابان مدرس ۴، فست فود گرین فود,4.3,2
آبمیوه بستنی فاضل,رفسنجان، خیابان کارگر، نبش کارگر ۲/۳، آبمیوه بستنی فاضل,,0
کافه مشتی,رفسنجان، خیابان معلم، روبروی کوچه معلم ۱۱، کافه مشتی,,0
فست فود فلافل آبادان,رفسنجان، خیابان معلم، روبروی معلم ۱۱، فست فود فلافل آبادان,,0
کافه سناتور,رفسنجان، خیابان کارگر، نبش کارگر ۸، کافه سناتور,,0
قهوه رومه لند,رفسنجان، میدان شهید زینعلی، بلوار کارگر جنوبی، نبش کارگر ۹، قهوه رومه لند,,0
کافه آتیش کش,خیابان بستان، نبش کوچه۱۱,,0
کافه صبحانه منصور,ششم بهمن، خیابان امام خمینی، بلوار ۱۷ شهریور، پلاک ۲۴۶، کافه صبحانه منصور,,0
فست فود قارچ ویچ,بلوار طالقانی، جنب فروشگاه رفاه، طبقه همکف، فست فود قارچ ویچ,1.8,1
خانه برگر,قطب آباد، خیابان بنفشه، کوچه بنفشه ۱۷، پلاک ۱۳، طبقه همکف، خانه برگر,4.4,0
مرغ شکم پرهمت,بلوار شهید محمدی، پلاک ۱۳۷، مرغ شکم پرهمت,,0
کبابی دایی ولی گلپایگانی,خیابان عدالت، نبش کوچه شهید میرزایی ۲، کبابی دایی ولی گلپایگانی,3.5,0
جعبه سوخاری,بلوار طالقانی، پلاک ۸۴، جعبه سوخاری,3.8,12
فست فود تا به تا,بلوار طالقانی، روبروی پارک مادر، فست فود تا به تا,2.8,2
فست فود داژو,خیابان مدرس، بعد از چهارراه موزه، رو به روی پروژه آفتاب، نبش کوچه ۱۳، فست فود داژو,4.2,14
فست فود تاپ تنور,عباس آباد، کوچه ابوذر ۹/۱، خیابان ابوذر، طبقه همکف، فست فود تاپ تنور,4.4,9
فست فود پورت لند,بلوارجمهوری، جنب پارک مادر، فست فود پورت لند,,0
آشپزخانه و غذای بیرون بر همیشه بهار,خیایان شهید نوری، خیابان شهید غفاری، کوچه غفاری ۷، آشپزخانه و غذای بیرون بر همیشه بهار,3.7,13
رستوران زنجیره ای مصطفی کلبادی نژاد,بلوار مطهری، بعد از پمپ بنزین، رستوران زنجیره ای مصطفی کلبادی نژاد,4.8,4
جگرکی باباطاهر,خیابان مطهری، نبش کوچه ۴، روبروی بانک تجارت، جگرکی باباطاهر,3.9,8
فست فود کنج گلستان,علی آباد، خیابان شهید بهشتی، بن بست (عمارت گلستان)، پلاک ۱۰۱، فست فود کنج گلستان,,0
غذای بیرون بر سرو,میدان آزادی، آزادی دوم، طبقه زیرین سوپرمارکت، غذای بیرون بر سرو,3.9,4
مرغ بریانی گیلاس,سی متری، خیابان امیرکبیر، بلوار طالقانی، پلاک ۶۰۱، طبقه همکف، مرغ بریانی گیلاس,4.4,1
آشپزخانه و بیرون بر بمانادی,شهرک فرهنگیان، بلوار خلیج فارس، کوچه ترنج ۴، پلاک ۱۱، آشپزخانه و بیرون بر بمانادی,,2
فست فود امپراطور,رفسنجان، بلوار طالقانی، طالقانی ۳۰، فست فود امپراطور,4.6,8
